"dbn","grade","year","subject","n","score"
"01M063","3",2009,"ELA",42,654
"01M063","3",2010,"ELA",18,665
"01M063","3",2011,"ELA",23,657
"01M063","3",2012,"ELA",26,654
"01M063","4",2006,"ELA",31,657
"01M063","4",2007,"ELA",26,652
"01M063","4",2008,"ELA",31,657
"01M063","4",2009,"ELA",30,647
"01M063","4",2010,"ELA",43,663
"01M063","4",2011,"ELA",20,680
"01M063","4",2012,"ELA",23,665
"01M063","5",2006,"ELA",30,641
"01M063","5",2007,"ELA",32,654
"01M063","5",2008,"ELA",23,656
"01M063","5",2009,"ELA",29,670
"01M063","5",2010,"ELA",24,661
"01M063","5",2011,"ELA",33,668
"01M063","5",2012,"ELA",25,665
"01M063","6",2006,"ELA",26,655
"01M063","All Grades",2006,"ELA",119,NA
"01M063","All Grades",2007,"ELA",90,NA
"01M063","All Grades",2008,"ELA",89,NA
"01M063","All Grades",2009,"ELA",101,NA
"01M063","All Grades",2010,"ELA",85,NA
"01M063","All Grades",2011,"ELA",76,668
"01M063","All Grades",2012,"ELA",74,661
"01M064","3",2006,"ELA",42,658
"01M064","3",2007,"ELA",37,661
"01M064","3",2008,"ELA",32,659
"01M064","3",2009,"ELA",44,653
"01M064","3",2010,"ELA",46,657
"01M064","3",2011,"ELA",31,657
"01M064","3",2012,"ELA",43,653
"01M064","4",2006,"ELA",38,649
"01M064","4",2007,"ELA",46,648
"01M064","4",2008,"ELA",45,653
"01M064","4",2009,"ELA",37,671
"01M064","4",2010,"ELA",47,655
"01M064","4",2011,"ELA",47,652
"01M064","4",2012,"ELA",39,664
"01M064","5",2006,"ELA",38,640
"01M064","5",2007,"ELA",49,654
"01M064","5",2008,"ELA",40,665
"01M064","5",2009,"ELA",44,664
"01M064","5",2010,"ELA",32,662
"01M064","5",2011,"ELA",48,662
"01M064","5",2012,"ELA",45,662
"01M064","6",2006,"ELA",54,630
"01M064","All Grades",2006,"ELA",172,NA
"01M064","All Grades",2007,"ELA",132,NA
"01M064","All Grades",2008,"ELA",117,NA
"01M064","All Grades",2009,"ELA",125,NA
